id	filename	md5	size	state
4789cac3-dc8c-42a3-a07a-5fa8203785e5	4789cac3-dc8c-42a3-a07a-5fa8203785e5/TCGA-XR-A8TC-01A-21-A40N-20_RPPA_data.tsv	1252cf47d141c71d9c438f3787e7a3be	22076	validated
487f71f1-642e-4c3f-8623-749f2d749afa	487f71f1-642e-4c3f-8623-749f2d749afa/TCGA-K7-A5RG-01A-21-A40M-20_RPPA_data.tsv	209731b78d96e3576ded201b2ebf3bfb	22036	validated
49cd08f0-ad41-4bfd-9ee9-db6f32102902	49cd08f0-ad41-4bfd-9ee9-db6f32102902/TCGA-CC-A5UD-01A-21-A40M-20_RPPA_data.tsv	9869483d8cee889800073cc4e9702bcf	22057	validated
4efaa45c-7b3b-4a27-b1ad-d7ba30a87c7f	4efaa45c-7b3b-4a27-b1ad-d7ba30a87c7f/TCGA-DD-A3A9-01A-21-A40L-20_RPPA_data.tsv	41a05c5980cbf79bd64d50f88aa79b7b	22078	validated
5467c4f5-83ac-4709-84f1-2fd4e850fcc0	5467c4f5-83ac-4709-84f1-2fd4e850fcc0/TCGA-WQ-A9G7-01A-21-A40N-20_RPPA_data.tsv	6a96bb432a810a7c3465051afa4133ba	22077	validated
58988b16-2389-4dc5-b5db-77da9ef0d8c6	58988b16-2389-4dc5-b5db-77da9ef0d8c6/TCGA-BC-A10S-01A-11-A40N-20_RPPA_data.tsv	9a143d11cf016a8528c5f7448e037bfd	21995	validated
60fd779a-dbbc-4e40-8b56-ea2ea0e82e93	60fd779a-dbbc-4e40-8b56-ea2ea0e82e93/TCGA-BC-A10Y-01A-21-A40L-20_RPPA_data.tsv	288c00ff6f8e80e9b2623b62879ef203	22071	validated
618227ce-e12a-4047-8629-bfc2aea91572	618227ce-e12a-4047-8629-bfc2aea91572/TCGA-DD-A115-01A-21-A40L-20_RPPA_data.tsv	c1c2b060da5c463b6aa5e74bb460ad54	22070	validated
64fc8c85-d0bd-48e7-a001-e3aac9cb4844	64fc8c85-d0bd-48e7-a001-e3aac9cb4844/TCGA-BC-A10W-01A-21-A40N-20_RPPA_data.tsv	40a65c2e8ebfc761289982c280ee6f78	22069	validated
65706266-0fc1-44c8-8e46-dab6df856814	65706266-0fc1-44c8-8e46-dab6df856814/TCGA-G3-A5SJ-01A-21-A40M-20_RPPA_data.tsv	7d22e2f86220b4a976a696b2af68f87f	22063	validated
65735442-8b99-40b5-b0fa-cd78f41e5060	65735442-8b99-40b5-b0fa-cd78f41e5060/TCGA-DD-A4NR-01A-21-A40M-20_RPPA_data.tsv	e3ba4599f58faa15d362c9c708374764	22071	validated
6d85c21d-6103-4369-b88f-82e02530c1f4	6d85c21d-6103-4369-b88f-82e02530c1f4/TCGA-FV-A3R3-01A-21-A40M-20_RPPA_data.tsv	330154cb71a7d546adde511d9feb35c0	22025	validated
7085310a-e185-4ea0-9c26-82379ea95481	7085310a-e185-4ea0-9c26-82379ea95481/TCGA-ED-A7PX-01A-41-A40L-20_RPPA_data.tsv	b0475c12867f2dce08825224b6f10fdc	22064	validated
71a0bf20-8f41-4711-9cf0-944fe6ad42e7	71a0bf20-8f41-4711-9cf0-944fe6ad42e7/TCGA-MR-A520-01A-21-A40M-20_RPPA_data.tsv	661fbaf66e474e2d5c2105b1b197e937	22023	validated
741b505b-a387-41ff-bc80-4d5e804db91a	741b505b-a387-41ff-bc80-4d5e804db91a/TCGA-ES-A2HS-01A-21-A40L-20_RPPA_data.tsv	d25ae34d6c53dfa8459125d7c67a36a7	22053	validated
753674c2-4eec-41a3-82ee-8ad5e9d9bee0	753674c2-4eec-41a3-82ee-8ad5e9d9bee0/TCGA-DD-A3A7-01A-21-A40L-20_RPPA_data.tsv	98523120b5acaca28d2cd85a365f5fba	22029	validated
799b3c4a-2edd-40f6-adf4-6fff1ac44940	799b3c4a-2edd-40f6-adf4-6fff1ac44940/TCGA-NI-A8LF-01A-21-A40L-20_RPPA_data.tsv	0eb0a782648255f5fbfacb60cb240402	22049	validated
7d262b67-b3b9-437a-bc45-35547c5dc945	7d262b67-b3b9-437a-bc45-35547c5dc945/TCGA-BC-A10R-01A-21-A40L-20_RPPA_data.tsv	af450122f969430d2f9a574ae1472e37	22054	validated
7f1a3c57-27be-4203-b661-bfd6a4a8854c	7f1a3c57-27be-4203-b661-bfd6a4a8854c/TCGA-GJ-A9DB-01A-21-A40N-20_RPPA_data.tsv	aec74216f9f808fc567e4408c019ae09	22077	validated
7fac3eaf-72ce-4d79-b344-8665862d8ee4	7fac3eaf-72ce-4d79-b344-8665862d8ee4/TCGA-CC-A1HT-01A-21-A40N-20_RPPA_data.tsv	88bf8eaf30d0841d6b55d58aa4f13784	21992	validated
7ff66f72-ffc5-43af-9f87-13458fb341e2	7ff66f72-ffc5-43af-9f87-13458fb341e2/TCGA-DD-A3A8-01A-21-A40M-20_RPPA_data.tsv	91525b77309f16070d5276f9159f335d	22020	validated
828ebe25-162c-4139-993a-582bd0e470cc	828ebe25-162c-4139-993a-582bd0e470cc/TCGA-CC-A8HT-01A-21-A40N-20_RPPA_data.tsv	0798ea67512b71b5ebe22fefa5064c48	22061	validated
82a8c636-9eb1-4e74-89f4-4cbed24cad29	82a8c636-9eb1-4e74-89f4-4cbed24cad29/TCGA-RG-A7D4-01A-21-A40M-20_RPPA_data.tsv	360f84dd87d115d4593537a67fb570c3	22086	validated
8f0fe3d7-33fc-4551-a7e9-3df8a06b67b1	8f0fe3d7-33fc-4551-a7e9-3df8a06b67b1/TCGA-CC-A8HV-01A-21-A40N-20_RPPA_data.tsv	7bd0f12f154ec0b25a61f466e4c5a0d9	22050	validated
91db1bf2-3efc-4872-94a4-5758d390ea6a	91db1bf2-3efc-4872-94a4-5758d390ea6a/TCGA-G3-A7M7-01A-21-A40L-20_RPPA_data.tsv	7602318970a70c84b7b87dcc768ae3e9	22028	validated
95a8a2fc-aa7a-4707-bc33-831e535206c4	95a8a2fc-aa7a-4707-bc33-831e535206c4/TCGA-DD-A3A2-01A-21-A40M-20_RPPA_data.tsv	b24543cd4bdf462ee753f609815de1eb	21973	validated
9806c5c9-0abc-4a5a-a920-ed6764ef7d7f	9806c5c9-0abc-4a5a-a920-ed6764ef7d7f/TCGA-CC-A3MB-01A-21-A40M-20_RPPA_data.tsv	cd92a1312597d7ce43d21dc32a1d8a93	22075	validated
9da9d210-56d0-4a2d-84ff-3c867b40b356	9da9d210-56d0-4a2d-84ff-3c867b40b356/TCGA-BW-A5NP-01A-21-A40L-20_RPPA_data.tsv	93232aa18375cb06725ff8e4070ed11b	22073	validated
a068331b-bad9-4733-aed5-15f835bc8f4c	a068331b-bad9-4733-aed5-15f835bc8f4c/TCGA-BC-A3KF-01A-21-A40M-20_RPPA_data.tsv	376a2a442ca7a0b2db4fb2241c9c2bd1	22026	validated
a4934672-d9bc-4b82-af9e-c6d783d8591f	a4934672-d9bc-4b82-af9e-c6d783d8591f/TCGA-BC-A10X-01A-21-A40L-20_RPPA_data.tsv	175c3676892426910a1b8e331f718f7b	22024	validated
a7f60426-f665-4500-b1c5-5cd20d20ba92	a7f60426-f665-4500-b1c5-5cd20d20ba92/TCGA-CC-A7IG-01A-21-A40L-20_RPPA_data.tsv	2a80fac282a915a168ccc7e589e9dedb	22092	validated
a930e1bf-70e6-4d7c-b855-27782a7910eb	a930e1bf-70e6-4d7c-b855-27782a7910eb/TCGA-HP-A5MZ-01A-11-A40M-20_RPPA_data.tsv	0adc415f54969711c4f485d18c7939ac	22020	validated
aaba6087-863a-49e9-9849-42bc78d347f3	aaba6087-863a-49e9-9849-42bc78d347f3/TCGA-DD-A73D-01A-21-A40M-20_RPPA_data.tsv	1c7f5dd6b752a37523a9eac671596bb8	22019	validated
ac934e4b-fb50-401f-a8f2-f3d99866b241	ac934e4b-fb50-401f-a8f2-f3d99866b241/TCGA-BC-4072-01B-21-A40L-20_RPPA_data.tsv	713a04adb46dd8d905befe9f6177aecd	22065	validated
aecf8e92-598d-4bdb-b9d2-2760b5798f7d	aecf8e92-598d-4bdb-b9d2-2760b5798f7d/TCGA-ED-A459-01A-21-A40M-20_RPPA_data.tsv	b932ce8dd09d12b8cbb2e9854cc53ddb	22044	validated
b476f3ee-dbcc-4421-950e-b1c7d1044b0f	b476f3ee-dbcc-4421-950e-b1c7d1044b0f/TCGA-G3-A5SK-01A-21-A40M-20_RPPA_data.tsv	3cd8acecc912914f955f4fa838779fcc	22001	validated
b6d552fd-a1ec-4f4c-ac29-1319bbf00e9d	b6d552fd-a1ec-4f4c-ac29-1319bbf00e9d/TCGA-CC-5258-01A-21-A40N-20_RPPA_data.tsv	32c5184e996c71f1685f6966083dceeb	22054	validated
b9dbd0fb-ad8f-4c46-8f83-288de91c1640	b9dbd0fb-ad8f-4c46-8f83-288de91c1640/TCGA-CC-5264-01A-21-A40L-20_RPPA_data.tsv	60bc24e213a983f4abb6a16ceeb90988	22033	validated
bd6d427d-2cd7-454f-988f-73215c0040b2	bd6d427d-2cd7-454f-988f-73215c0040b2/TCGA-FV-A4ZP-01A-21-A40M-20_RPPA_data.tsv	b48cd25bace211591eeb9c3bb3bb1d58	22045	validated
bdd97653-1cff-4ead-8936-51eecca4f3e7	bdd97653-1cff-4ead-8936-51eecca4f3e7/TCGA-DD-A1EB-01A-21-A40L-20_RPPA_data.tsv	5d1b4ab488f98a6fffea587fb341f453	22027	validated
c08ca67d-41e6-4f99-ad5d-405f7549501a	c08ca67d-41e6-4f99-ad5d-405f7549501a/TCGA-DD-A4NP-01A-21-A40M-20_RPPA_data.tsv	ed79d196c666b94f003962b3e856fdb1	21997	validated
c0f17c1b-6bcf-472e-856a-975117c89fe1	c0f17c1b-6bcf-472e-856a-975117c89fe1/TCGA-FV-A3R2-01A-21-A40M-20_RPPA_data.tsv	56d2357c7128097d431d090900ae7af3	22053	validated
